product_id,name,unit_price,available,lead_time_days,category,unit,description
BOLT-M8-SS-001,M8 Stainless Steel Hex Bolt 50mm,8.5,True,3,fasteners,pcs,M8 x 50mm SS 316 hex bolt DIN 931
BOLT-M10-GI-002,M10 GI Hex Bolt 75mm,6.0,True,3,fasteners,pcs,M10 x 75mm galvanised iron hex bolt DIN 933
NUT-M8-SS-003,M8 Stainless Steel Hex Nut,3.5,True,3,fasteners,pcs,M8 SS 316 hex nut DIN 934
NUT-M10-GI-004,M10 GI Hex Nut,2.8,True,3,fasteners,pcs,M10 galvanised iron hex nut DIN 934
WASH-M8-SS-005,M8 Stainless Steel Flat Washer,1.5,True,3,fasteners,pcs,M8 SS 304 flat washer DIN 125
SCREW-ST-006,Self-Tapping Screw 4.2x25mm Box 100,95.0,True,5,fasteners,box,4.2x25mm zinc plated self-tapping Phillips head screw
STL-MS-PLATE-007,MS Plate 6mm 2500x1250mm,4200.0,True,7,steel,sheet,Mild steel plate IS 2062 E250 Grade 6mm thick
STL-HR-COIL-008,HR Steel Coil 2mm 1000mm width per MT,62000.0,True,10,steel,MT,Hot rolled steel coil IS 10748 2mm thick 1000mm wide
STL-SS-PIPE-009,SS 304 Pipe 2 inch SCH40 per meter,850.0,True,7,steel,mtr,Stainless steel 304 seamless pipe 2 inch schedule 40
ALU-SHEET-010,Aluminium Sheet 3mm 2438x1219mm,3800.0,True,7,metals,sheet,Aluminium alloy 5052 sheet 3mm thick
STL-ANGLE-011,MS Angle 50x50x6mm per meter,220.0,True,5,steel,mtr,Mild steel equal angle 50x50x6mm IS 2062
STL-CHANNEL-012,MS Channel ISMC 100 per meter,420.0,True,5,steel,mtr,Mild steel C-channel ISMC 100 100x50mm IS 2062
ELEC-CU-WIRE-013,Copper Wire 2.5 sqmm 100m roll,1850.0,True,5,electrical,roll,FR PVC insulated copper conductor 2.5 sqmm 100m
ELEC-CU-WIRE-014,Copper Wire 6 sqmm 100m roll,4200.0,True,5,electrical,roll,FR PVC insulated copper conductor 6 sqmm 100m
ELEC-MCB-015,MCB 32A Single Pole C-Curve,380.0,True,3,electrical,pcs,Miniature circuit breaker 32A 1P C-curve 10kA
ELEC-CONT-016,AC Contactor 32A 3P 230V Coil,1200.0,True,5,electrical,pcs,AC magnetic contactor 32A 3 pole 230V AC coil
ELEC-TRAY-017,Perforated Cable Tray 150x50mm per meter,320.0,True,7,electrical,mtr,GI perforated cable tray 150mm wide 50mm deep
BRG-6205-018,Deep Groove Ball Bearing 6205-2RS,180.0,True,5,bearings,pcs,6205-2RS bearing 25x52x15mm rubber sealed
BRG-6305-019,Deep Groove Ball Bearing 6305-ZZ,220.0,True,5,bearings,pcs,6305-ZZ bearing 25x62x17mm metal shielded
BRG-UCF-020,Pillow Block Bearing UCF205,450.0,True,7,bearings,pcs,UCF205 square flange pillow block bearing unit 25mm bore
BELT-VBELT-021,V-Belt A-Section A50,220.0,True,5,mechanical,pcs,Classical V-belt A section A50 length 1270mm
PKG-CBOX-022,Corrugated Box 30x20x20cm 5-ply Bundle 25,1100.0,True,5,packaging,bundle,5-ply corrugated carton box 300x200x200mm bundle of 25
PKG-SWRAP-023,Stretch Wrap Film 500mm 300m roll,380.0,True,3,packaging,roll,LLDPE stretch wrap film 500mm wide 300m 23 micron
PKG-STRAP-024,PP Strapping Roll 12mm 1000m,950.0,True,5,packaging,roll,Polypropylene strapping 12mm wide 1000m box strapping
PKG-TAPE-025,BOPP Packing Tape 48mm 66m Box 36,1100.0,True,3,packaging,box,Brown BOPP packing tape 48mm 66m box of 36 rolls
SAF-HELM-026,Safety Helmet ISI Marked Ratchet,320.0,True,3,safety,pcs,Industrial safety helmet IS 2925 ratchet HDPE shell
SAF-GLOVE-027,Nitrile Safety Gloves Size L Box 100,680.0,True,3,safety,box,Nitrile powder-free gloves size large box of 100
SAF-SHOE-028,Safety Shoe Steel Toe Cap Size 8,1200.0,True,7,safety,pair,Steel toe safety shoe IS 15298 leather upper
SAF-VEST-029,Hi-Vis Reflective Safety Vest Size L,180.0,True,3,safety,pcs,High visibility yellow safety vest 2-band reflective
